Date,Open,High,Low,Close,Adj Close,Volume
2020-05-25,68.000000,69.000000,67.750000,68.750000,68.750000,6176900
2020-05-26,69.500000,70.500000,69.250000,69.750000,69.750000,16196800
2020-05-27,70.500000,72.000000,70.250000,71.500000,71.500000,27149400
2020-05-28,74.000000,75.000000,73.500000,74.750000,74.750000,33757700
2020-05-29,73.500000,74.500000,72.750000,74.000000,74.000000,17341400
2020-06-01,74.750000,76.500000,74.250000,74.750000,74.750000,22099200
2020-06-02,75.500000,76.750000,74.750000,76.500000,76.500000,14607900
2020-06-04,79.750000,87.750000,79.750000,87.750000,87.750000,65610100
2020-06-05,89.500000,92.500000,88.500000,89.250000,89.250000,45661100
2020-06-08,91.000000,91.000000,87.000000,87.500000,87.500000,25884100
2020-06-09,88.250000,91.500000,86.000000,87.750000,87.750000,32018500
2020-06-10,88.500000,90.750000,87.750000,89.250000,89.250000,32960400
2020-06-11,87.750000,89.000000,86.000000,86.500000,86.500000,26890500
2020-06-12,84.000000,84.500000,82.000000,84.250000,84.250000,17216300
